antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage
frozenset({'Depression'}),frozenset({'Diabetes'}),0.19736842105263158,0.1355263157894737,0.038157894736842106,0.19333333333333333,1.426537216828479,0.011409279778393351
frozenset({'Diabetes'}),frozenset({'Depression'}),0.1355263157894737,0.19736842105263158,0.038157894736842106,0.2815533980582524,1.426537216828479,0.011409279778393351
frozenset({'CardiovascularDisease'}),frozenset({'Diabetes'}),0.15921052631578947,0.1355263157894737,0.030263157894736843,0.19008264462809918,1.4025515525956833,0.00868594182825485
frozenset({'Diabetes'}),frozenset({'CardiovascularDisease'}),0.1355263157894737,0.15921052631578947,0.030263157894736843,0.2233009708737864,1.402551552595683,0.00868594182825485
frozenset({'FamilyHistoryAlzheimers'}),frozenset({'CardiovascularDisease'}),0.23289473684210527,0.15921052631578947,0.04473684210526316,0.192090395480226,1.20651818648737,0.007657548476454293
frozenset({'CardiovascularDisease'}),frozenset({'FamilyHistoryAlzheimers'}),0.15921052631578947,0.23289473684210527,0.04473684210526316,0.2809917355371901,1.20651818648737,0.007657548476454293
frozenset({'Hypertension'}),frozenset({'Diabetes'}),0.16578947368421051,0.1355263157894737,0.02631578947368421,0.15873015873015872,1.1712128216982585,0.0038469529085872582
frozenset({'Diabetes'}),frozenset({'Hypertension'}),0.1355263157894737,0.16578947368421051,0.02631578947368421,0.19417475728155337,1.1712128216982585,0.0038469529085872582
frozenset({'Depression'}),frozenset({'Hypertension'}),0.19736842105263158,0.16578947368421051,0.038157894736842106,0.19333333333333333,1.1661375661375661,0.00543628808864266
frozenset({'Hypertension'}),frozenset({'Depression'}),0.16578947368421051,0.19736842105263158,0.038157894736842106,0.23015873015873017,1.1661375661375661,0.00543628808864266
frozenset({'HeadInjury'}),frozenset({'Diabetes'}),0.08421052631578947,0.1355263157894737,0.013157894736842105,0.15625,1.1529126213592233,0.0017451523545706366
frozenset({'Diabetes'}),frozenset({'HeadInjury'}),0.1355263157894737,0.08421052631578947,0.013157894736842105,0.09708737864077668,1.1529126213592231,0.0017451523545706366
frozenset({'CardiovascularDisease'}),frozenset({'Depression'}),0.15921052631578947,0.19736842105263158,0.035526315789473684,0.2231404958677686,1.1305785123966943,0.004103185595567868
frozenset({'Depression'}),frozenset({'CardiovascularDisease'}),0.19736842105263158,0.15921052631578947,0.035526315789473684,0.18,1.1305785123966943,0.004103185595567868
