antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage
frozenset({'NoHypertension'}),"frozenset({'NoFamilyHistoryAlzheimers', 'NoDepression'})",0.8603311735061195,0.5910727141828653,0.515478761699064,0.599163179916318,1.0136877672396658,0.006960479878672321
"frozenset({'NoFamilyHistoryAlzheimers', 'NoDepression'})",frozenset({'NoHypertension'}),0.5910727141828653,0.8603311735061195,0.515478761699064,0.8721071863580999,1.0136877672396658,0.006960479878672321
frozenset({'NoFamilyHistoryAlzheimers'}),"frozenset({'NoDepression', 'NoHypertension'})",0.7372210223182145,0.6904247660187185,0.515478761699064,0.69921875,1.0127370633472368,0.0064831098609303695
"frozenset({'NoDepression', 'NoHypertension'})",frozenset({'NoFamilyHistoryAlzheimers'}),0.6904247660187185,0.7372210223182145,0.515478761699064,0.7466110531803962,1.0127370633472368,0.0064831098609303695
frozenset({'NoFamilyHistoryAlzheimers'}),"frozenset({'NoCardiovascularDisease', 'NoDepression'})",0.7372210223182145,0.6882649388048956,0.5133189344852411,0.6962890625,1.0116584809754186,0.005915552673712687
"frozenset({'NoCardiovascularDisease', 'NoDepression'})",frozenset({'NoFamilyHistoryAlzheimers'}),0.6882649388048956,0.7372210223182145,0.5133189344852411,0.7458158995815899,1.0116584809754183,0.005915552673712687
"frozenset({'NoFamilyHistoryAlzheimers', 'NoHypertension'})",frozenset({'NoDepression'}),0.6393088552915767,0.7976961843052556,0.515478761699064,0.8063063063063063,1.0107937359742414,0.0055045272404125045
frozenset({'NoDepression'}),"frozenset({'NoFamilyHistoryAlzheimers', 'NoHypertension'})",0.7976961843052556,0.6393088552915767,0.515478761699064,0.6462093862815884,1.0107937359742414,0.0055045272404125045
"frozenset({'NoHypertension', 'NoHeadInjury'})",frozenset({'NoFamilyHistoryAlzheimers'}),0.775377969762419,0.7372210223182145,0.5773938084953204,0.744661095636026,1.0100920525766017,0.0057688689440482666
frozenset({'NoFamilyHistoryAlzheimers'}),"frozenset({'NoHypertension', 'NoHeadInjury'})",0.7372210223182145,0.775377969762419,0.5773938084953204,0.7832031250000001,1.0100920525766017,0.0057688689440482666
