antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NoMemoryComplaints'}),frozenset({'NoDiagnosis'}),0.7919962773382969,0.6463471382038157,0.5714285714285714,0.7215041128084606,1.116279581299771,1.0,0.059524044102887586,1.269867448896847,0.5007942927515314,0.659151905528717,0.21251623477023926,0.8027966928333159
frozenset({'NoBehavioralProblems'}),frozenset({'NoDiagnosis'}),0.8431828757561657,0.6463471382038157,0.5839925546765937,0.6926048565121412,1.0715679169507497,1.0,0.039003715949132545,1.1504829184464735,0.42589759655739035,0.644912641315519,0.13079978505867296,0.7980662871473593
frozenset({'NoConfusion'}),frozenset({'NoDiagnosis'}),0.7947882736156352,0.6463471382038157,0.5100046533271289,0.6416861826697892,0.9927887736194219,1.0,-0.00370447280228825,0.9869919737710501,-0.03418564314888457,0.547726136931534,-0.013179465056083018,0.7153715290598766
frozenset({'NoDisorientation'}),frozenset({'NoDiagnosis'}),0.8417868776174965,0.6463471382038157,0.5397859469520707,0.6412382531785517,0.992095756717572,1.0,-0.0043005923735237594,0.9857596717862824,-0.04794320488773937,0.5691854759568203,-0.014446044630648025,0.738185721261702
frozenset({'NoPersonalityChanges'}),frozenset({'NoDiagnosis'}),0.849232201023732,0.6463471382038157,0.5453699395067473,0.6421917808219177,0.993571012949101,1.0,-0.00352886329546942,0.9883866351884169,-0.0411514424594411,0.5739471106758081,-0.0117498197548668,0.7429821395110308
frozenset({'NoDifficultyCompletingTasks'}),frozenset({'NoDiagnosis'}),0.8413215449046068,0.6463471382038157,0.5453699395067473,0.6482300884955752,1.002913218269972,1.0,0.0015841666484416317,1.0053527895086496,0.018305926155754985,0.5787654320987654,0.005324289706567165,0.7460012933478595
frozenset({'NoForgetfulness'}),frozenset({'NoDiagnosis'}),0.698464402047464,0.6463471382038157,0.45137273150302465,0.6462358427714856,0.999827808578778,1.0,-7.773589759307864e-05,0.9996853965274435,-0.0005708207257218391,0.5052083333333334,-0.0003147024790492681,0.672289987620444
"frozenset({'NoBehavioralProblems', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6663564448580735,0.6463471382038157,0.5141926477431363,0.7716480446927374,1.1938600777859558,1.0,0.08349506658545175,1.5487183427894062,0.48668976441558265,0.6439393939393938,0.35430480005880616,0.783592200892085
"frozenset({'NoConfusion', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6281991624011168,0.6463471382038157,0.4527687296416938,0.7207407407407407,1.115098525451297,1.0,0.04673399880169782,1.266396189455832,0.2776170624380163,0.5509626274065685,0.21035769980506805,0.7106223502119831
"frozenset({'NoDisorientation', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6686831084225221,0.6463471382038157,0.47929269427640764,0.7167710508002784,1.1089567949386596,1.0,0.047091280782278644,1.2486465906661346,0.29654876186320495,0.5734966592427618,0.19913287917078712,0.7291558637730693
"frozenset({'NoMemoryComplaints', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.6682177757096324,0.6463471382038157,0.47929269427640764,0.7172701949860725,1.1097290489741323,1.0,0.047392047249567526,1.2508510087175386,0.298024210569316,0.5738161559888579,0.2005442750329865,0.7294054358659664
"frozenset({'NoDifficultyCompletingTasks', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.6728711028385296,0.6463471382038157,0.48580735225686367,0.7219917012448133,1.1170339567855319,1.0,0.05089904055713468,1.272094622281797,0.32027762790013237,0.5829145728643216,0.2138949552303996,0.7368057858275903
"frozenset({'NoForgetfulness', 'NoMemoryComplaints'})",frozenset({'NoDiagnosis'}),0.5518845974872033,0.6463471382038157,0.39599813866914846,0.7175379426644183,1.110143296462084,1.0,0.03928910846452982,1.2520366987769393,0.221405883738269,0.4936194895591648,0.20130136682346694,0.6651044644927563
"frozenset({'NoBehavioralProblems', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.6668217775709633,0.6463471382038157,0.45695672405770127,0.6852756454989533,1.0602284824890214,1.0,0.025958376432727803,1.1236908003413129,0.17050057458840126,0.533695652173913,0.11007547654901388,0.6961295434118236
"frozenset({'NoBehavioralProblems', 'NoDisorientation'})",frozenset({'NoDiagnosis'}),0.7068403908794788,0.6463471382038157,0.4872033503955328,0.6892692560895326,1.0664072219844531,1.0,0.030339086583715202,1.1381328327720421,0.21241642788920742,0.5626007522837184,0.12136793596895468,0.7215244768568614
"frozenset({'NoBehavioralProblems', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.7156817124243834,0.6463471382038157,0.49418334108887857,0.6905071521456437,1.0683224405766656,1.0,0.03160451439857215,1.1426850870641418,0.22493457978492276,0.569436997319035,0.12486824994866892,0.7275429929194741
"frozenset({'NoBehavioralProblems', 'NoDifficultyCompletingTasks'})",frozenset({'NoDiagnosis'}),0.7068403908794788,0.6463471382038157,0.4899953466728711,0.6932192231731402,1.072518438156284,1.0,0.033131082861053485,1.1527869035802658,0.23064260842038628,0.5676549865229109,0.13253698763036623,0.7256592876124881
"frozenset({'NoBehavioralProblems', 'NoForgetfulness'})",frozenset({'NoDiagnosis'}),0.5928338762214984,0.6463471382038157,0.4094927873429502,0.6907378335949764,1.0686793408175697,1.0,0.026316308016909595,1.1435374262140576,0.15783636363636355,0.49355019629837343,0.1255205320994794,0.6621435748248461
"frozenset({'NoDisorientation', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.6700791065611913,0.6463471382038157,0.42671009771986973,0.6368055555555555,0.9852376809855211,1.0,-0.006393615176125966,0.9737287208154977,-0.04344250235404913,0.47960251046025104,-0.026980080409356847,0.6484963702903768
"frozenset({'NoConfusion', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.6747324336900884,0.6463471382038157,0.429502093997208,0.636551724137931,0.9848449641270077,1.0,-0.006609283571676505,0.9730486709762186,-0.04517241379310346,0.4817327766179541,-0.027697822141560784,0.6505292817953874
"frozenset({'NoDifficultyCompletingTasks', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.6654257794322941,0.6463471382038157,0.43182875756165656,0.6489510489510489,1.0040286567284407,1.0,0.0017327093385497983,1.0074175146783735,0.011992830080092108,0.49074563722897946,0.007362900257637054,0.6585288002134655
"frozenset({'NoForgetfulness', 'NoConfusion'})",frozenset({'NoDiagnosis'}),0.5570032573289903,0.6463471382038157,0.35877152163797116,0.6441102756892231,0.9965392242304827,1.0,-0.0012459397068252387,0.9937147313850531,-0.007778345540226003,0.4247933884297521,-0.006325023084025803,0.5995929348208535
"frozenset({'NoDisorientation', 'NoPersonalityChanges'})",frozenset({'NoDiagnosis'}),0.7119590507212658,0.6463471382038157,0.4523033969288041,0.6352941176470588,0.982899250412908,1.0,-0.007869298023191307,0.9696933307314729,-0.05696148963182414,0.49922958397534667,-0.03125386996904036,0.6675390674628383
"frozenset({'NoDifficultyCompletingTasks', 'NoDisorientation'})",frozenset({'NoDiagnosis'}),0.7054443927408097,0.6463471382038157,0.4560260586319218,0.646437994722955,1.0001405692293954,1.0,6.409422197078962e-05,1.0002569747817447,0.0004771576877191905,0.5090909090909089,0.00025690876267156346,0.6759907756192169
