antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NoFamilyHistoryAlzheimers'}),frozenset({'NoDiagnosis'}),0.7477896696137738,0.6463471382038157,0.47650069799906936,0.6372121966397014,0.9858668182712155,1.0,-0.00683101493417021,0.9748201524982303,-0.05378353266104595,0.5192697768762679,-0.025830249238528512,0.687216609478958
frozenset({'NoCardiovascularDisease'}),frozenset({'NoDiagnosis'}),0.855746859004188,0.6463471382038157,0.5583992554676593,0.6525285481239804,1.0095636068527243,1.0,0.005289722123398177,1.0177896914603801,0.06566935483870857,0.591715976331361,0.01747874989267622,0.758229716826569
frozenset({'NoDiabetes'}),frozenset({'NoDiagnosis'}),0.849232201023732,0.6463471382038157,0.5435086086551885,0.64,0.990179985601152,1.0,-0.005390194147028238,0.9823690605449563,-0.06171945701357455,0.570869990224829,-0.017947368421052597,0.7404463642908568
frozenset({'NoDepression'}),frozenset({'NoDiagnosis'}),0.7994416007445323,0.6463471382038157,0.5155886458818055,0.6449359720605355,0.9978167055133844,1.0,-0.0011281449205003957,0.9960256009276142,-0.010792156732772631,0.5542771385692846,-0.003990257949880417,0.7213160781828956
frozenset({'NoHeadInjury'}),frozenset({'NoDiagnosis'}),0.9073987901349465,0.6463471382038157,0.5835272219637041,0.6430769230769231,0.9949404663011575,1.0,-0.0029673892496233645,0.9908377593427578,-0.05205698005697961,0.6014388489208634,-0.009246963562752971,0.7729423492274465
frozenset({'NoHypertension'}),frozenset({'NoDiagnosis'}),0.8510935318752908,0.6463471382038157,0.5560725919032108,0.6533624931656643,1.0108538501173596,1.0,0.0059707232318385595,1.020238303194355,0.07210774058577421,0.5907068709836876,0.019836839227648142,0.756846833335892
frozenset({'NoMemoryComplaints'}),frozenset({'NoDiagnosis'}),0.7919962773382969,0.6463471382038157,0.5714285714285714,0.7215041128084606,1.116279581299771,1.0,0.059524044102887586,1.269867448896847,0.5007942927515314,0.659151905528717,0.21251623477023926,0.8027966928333159
frozenset({'NoBehavioralProblems'}),frozenset({'NoDiagnosis'}),0.8431828757561657,0.6463471382038157,0.5839925546765937,0.6926048565121412,1.0715679169507497,1.0,0.039003715949132545,1.1504829184464735,0.42589759655739035,0.644912641315519,0.13079978505867296,0.7980662871473593
frozenset({'NoConfusion'}),frozenset({'NoDiagnosis'}),0.7947882736156352,0.6463471382038157,0.5100046533271289,0.6416861826697892,0.9927887736194219,1.0,-0.00370447280228825,0.9869919737710501,-0.03418564314888457,0.547726136931534,-0.013179465056083018,0.7153715290598766
frozenset({'NoDisorientation'}),frozenset({'NoDiagnosis'}),0.8417868776174965,0.6463471382038157,0.5397859469520707,0.6412382531785517,0.992095756717572,1.0,-0.0043005923735237594,0.9857596717862824,-0.04794320488773937,0.5691854759568203,-0.014446044630648025,0.738185721261702
frozenset({'NoPersonalityChanges'}),frozenset({'NoDiagnosis'}),0.849232201023732,0.6463471382038157,0.5453699395067473,0.6421917808219177,0.993571012949101,1.0,-0.00352886329546942,0.9883866351884169,-0.0411514424594411,0.5739471106758081,-0.0117498197548668,0.7429821395110308
frozenset({'NoDifficultyCompletingTasks'}),frozenset({'NoDiagnosis'}),0.8413215449046068,0.6463471382038157,0.5453699395067473,0.6482300884955752,1.002913218269972,1.0,0.0015841666484416317,1.0053527895086496,0.018305926155754985,0.5787654320987654,0.005324289706567165,0.7460012933478595
